user_id,signup_date,plan_type,monthly_fee,avg_weekly_usage_hours,support_tickets,payment_failures,tenure_months,last_login_days_ago,churn,churn_probability,estimated_remaining_months,revenue_at_risk,expected_revenue_at_risk,expected_remaining_ltv,risk_level,risk_category,recovery_probability,estimated_recoverable_revenue,recommended_action,intervention_cost,net_recoverable_value,roi_multiple,is_profitable_intervention
794,2024-07-03,Standard,399,20.0,2,3,31,9,No,0.5381,8,1717.62,1717.62,1474.38,Medium Risk,Medium Risk,0.62,1064.92,Payment retry & Concierge billing call,65.0,999.92,16.4,True
795,2023-11-03,Standard,399,19.7,6,5,30,3,No,0.6343,8,2024.69,2024.69,1167.31,High Risk,High Risk,0.26,526.42,Payment retry & Concierge billing call,65.0,461.42,8.1,True
796,2023-12-29,Premium,699,14.1,0,1,21,36,No,0.1761,8,984.75,984.75,4607.25,Low Risk,Low Risk,0.64,630.24,No action,0.0,630.24,630.2,False
797,2023-06-19,Basic,199,7.4,0,2,10,24,No,0.4266,6,509.36,509.36,684.64,Medium Risk,Medium Risk,0.47,239.4,Payment retry & Concierge billing call,65.0,174.4,3.7,True
798,2024-12-27,Premium,699,5.1,1,2,25,45,No,0.4011,8,2242.95,2242.95,3349.05,Medium Risk,Medium Risk,0.41,919.61,Payment retry & Concierge billing call,65.0,854.61,14.1,True
799,2023-11-06,Basic,199,10.6,7,1,18,23,Yes,0.5554,6,663.15,663.15,530.85,Medium Risk,Medium Risk,0.41,271.89,Payment reminder,15.0,256.89,18.1,True
800,2023-07-26,Basic,199,7.9,1,2,34,50,Yes,0.7141,8,1136.85,1136.85,455.15,High Risk,High Risk,0.44,500.21,Payment retry & Concierge billing call,65.0,435.21,7.7,True
801,2024-05-10,Basic,199,12.9,7,4,29,9,Yes,0.6649,8,1058.52,1058.52,533.48,High Risk,High Risk,0.25,264.63,Payment retry & Concierge billing call,65.0,199.63,4.1,True
802,2024-06-12,Premium,699,8.1,5,1,34,49,No,0.37,8,2069.04,2069.04,3522.96,Medium Risk,Medium Risk,0.38,786.24,Payment reminder & Priority billing assistance,35.0,751.24,22.5,True
803,2024-06-18,Premium,699,5.5,0,3,9,24,No,0.4226,6,1772.38,1772.38,2421.62,Medium Risk,Medium Risk,0.35,620.33,Payment retry & Concierge billing call,65.0,555.33,9.5,True
804,2023-03-31,Basic,199,8.1,0,5,1,54,Yes,0.7434,4,591.75,591.75,204.25,High Risk,High Risk,0.1,59.18,Payment retry & Concierge billing call,65.0,-5.82,0.9,False
805,2023-11-16,Standard,399,22.3,1,4,30,49,No,0.5849,8,1867.0,1867.0,1325.0,Medium Risk,Medium Risk,0.38,709.46,Payment retry & Concierge billing call,65.0,644.46,10.9,True
806,2023-10-11,Basic,199,16.2,3,2,20,12,Yes,0.4098,8,652.4,652.4,939.6,Medium Risk,Medium Risk,0.64,417.54,Payment retry & Concierge billing call,65.0,352.54,6.4,True
807,2023-04-28,Premium,699,19.4,1,2,21,9,Yes,0.4297,8,2402.88,2402.88,3189.12,Medium Risk,Medium Risk,0.75,1802.16,Payment retry & Concierge billing call,65.0,1737.16,27.7,True
808,2023-10-05,Basic,199,13.1,3,4,36,22,Yes,0.6745,8,1073.8,1073.8,518.2,High Risk,High Risk,0.29,311.4,Payment retry & Concierge billing call,65.0,246.4,4.8,True
809,2023-12-13,Basic,199,14.6,2,0,19,19,No,0.1901,8,302.64,302.64,1289.36,Low Risk,Low Risk,0.75,226.98,No action,0.0,226.98,227.0,False
810,2023-04-19,Premium,699,1.7,0,3,29,57,Yes,0.9187,8,5137.37,5137.37,454.63,Critical Risk,Critical Risk,0.2,1027.47,Payment retry & Concierge billing call,65.0,962.47,15.8,True
811,2024-08-29,Standard,399,2.6,6,1,4,45,Yes,0.9316,4,1486.83,1486.83,109.17,Critical Risk,Critical Risk,0.09,133.81,Payment reminder & Priority billing assistance,35.0,98.81,3.8,True
812,2024-11-17,Premium,699,15.6,4,2,29,52,Yes,0.6732,8,3764.53,3764.53,1827.47,High Risk,High Risk,0.4,1505.81,Payment retry & Concierge billing call,65.0,1440.81,23.2,True
813,2024-12-16,Premium,699,24.4,7,4,6,8,Yes,0.548,6,2298.31,2298.31,1895.69,Medium Risk,Medium Risk,0.28,643.53,Payment retry & Concierge billing call,65.0,578.53,9.9,True
814,2023-05-28,Standard,399,11.7,7,3,7,14,No,0.5848,6,1400.01,1400.01,993.99,Medium Risk,Medium Risk,0.26,364.0,Payment retry & Concierge billing call,65.0,299.0,5.6,True
815,2023-12-05,Premium,699,22.9,6,1,17,44,No,0.5199,6,2180.46,2180.46,2013.54,Medium Risk,Medium Risk,0.49,1068.43,Payment reminder & Priority billing assistance,35.0,1033.43,30.5,True
816,2024-04-17,Standard,399,12.4,1,3,30,7,No,0.3922,8,1251.9,1251.9,1940.1,Medium Risk,Medium Risk,0.58,726.1,Payment retry & Concierge billing call,65.0,661.1,11.2,True
817,2023-04-20,Basic,199,19.3,2,4,19,6,No,0.4855,8,772.92,772.92,819.08,Medium Risk,Medium Risk,0.51,394.19,Payment retry & Concierge billing call,65.0,329.19,6.1,True
818,2024-02-28,Standard,399,16.4,4,4,36,29,Yes,0.7135,8,2277.49,2277.49,914.51,High Risk,High Risk,0.28,637.7,Payment retry & Concierge billing call,65.0,572.7,9.8,True
819,2024-12-11,Basic,199,13.9,7,3,16,4,Yes,0.6203,6,740.64,740.64,453.36,High Risk,High Risk,0.36,266.63,Payment retry & Concierge billing call,65.0,201.63,4.1,True
820,2024-12-11,Premium,699,19.7,6,4,28,50,Yes,0.8086,8,4521.69,4521.69,1070.31,Critical Risk,Critical Risk,0.05,226.08,Payment retry & Concierge billing call,65.0,161.08,3.5,True
821,2024-05-13,Basic,199,16.7,1,5,12,59,No,0.5973,6,713.18,713.18,480.82,Medium Risk,Medium Risk,0.15,106.98,Payment retry & Concierge billing call,65.0,41.98,1.6,True
822,2024-02-20,Basic,199,8.5,1,3,30,11,Yes,0.387,8,616.1,616.1,975.9,Medium Risk,Medium Risk,0.54,332.69,Payment retry & Concierge billing call,65.0,267.69,5.1,True
823,2023-03-04,Basic,199,17.3,6,2,7,31,Yes,0.7704,6,919.86,919.86,274.14,High Risk,High Risk,0.13,119.58,Payment retry & Concierge billing call,65.0,54.58,1.8,True
824,2024-06-28,Basic,199,20.5,0,1,14,42,Yes,0.4536,6,541.6,541.6,652.4,Medium Risk,Medium Risk,0.7,379.12,Payment reminder,15.0,364.12,25.3,True
825,2023-11-21,Standard,399,15.6,7,1,25,13,No,0.1505,8,480.4,480.4,2711.6,Low Risk,Low Risk,0.58,278.63,No action,0.0,278.63,278.6,False
826,2023-04-02,Standard,399,23.0,6,5,20,58,Yes,0.7372,8,2353.14,2353.14,838.86,High Risk,High Risk,0.09,211.78,Payment retry & Concierge billing call,65.0,146.78,3.3,True
827,2023-10-29,Premium,699,15.5,8,3,1,54,Yes,0.8775,4,2453.49,2453.49,342.51,Critical Risk,Critical Risk,0.05,122.67,Payment retry & Concierge billing call,65.0,57.67,1.9,True
828,2024-01-03,Basic,199,22.6,0,0,24,45,No,0.3886,8,618.65,618.65,973.35,Medium Risk,Medium Risk,0.83,513.48,Engagement campaign,10.0,503.48,51.3,True
829,2024-10-02,Basic,199,21.7,3,3,19,44,Yes,0.596,8,948.83,948.83,643.17,Medium Risk,Medium Risk,0.4,379.53,Payment retry & Concierge billing call,65.0,314.53,5.8,True
830,2024-05-01,Standard,399,10.4,6,4,25,13,No,0.6096,8,1945.84,1945.84,1246.16,High Risk,High Risk,0.26,505.92,Payment retry & Concierge billing call,65.0,440.92,7.8,True
831,2024-11-17,Basic,199,14.1,5,3,13,9,Yes,0.5483,6,654.67,654.67,539.33,Medium Risk,Medium Risk,0.44,288.05,Payment retry & Concierge billing call,65.0,223.05,4.4,True
832,2024-11-04,Basic,199,0.8,0,1,9,46,No,0.5429,6,648.22,648.22,545.78,Medium Risk,Medium Risk,0.43,278.73,Payment reminder,15.0,263.73,18.6,True
833,2024-09-10,Standard,399,2.6,6,3,9,57,Yes,0.9905,6,2371.26,2371.26,22.74,Critical Risk,Critical Risk,0.05,118.56,Payment retry & Concierge billing call,65.0,53.56,1.8,True
834,2023-12-30,Standard,399,11.6,6,4,12,52,Yes,0.7848,6,1878.81,1878.81,515.19,High Risk,High Risk,0.05,93.94,Payment retry & Concierge billing call,65.0,28.94,1.4,True
835,2023-08-31,Basic,199,10.9,0,4,12,31,No,0.4572,6,545.9,545.9,648.1,Medium Risk,Medium Risk,0.23,125.56,Payment retry & Concierge billing call,65.0,60.56,1.9,True
836,2023-02-08,Premium,699,7.1,8,4,33,23,Yes,0.8861,8,4955.07,4955.07,636.93,Critical Risk,Critical Risk,0.05,247.75,Payment retry & Concierge billing call,65.0,182.75,3.8,True
837,2023-03-23,Premium,699,17.8,1,4,31,30,No,0.5557,8,3107.47,3107.47,2484.53,Medium Risk,Medium Risk,0.42,1305.14,Payment retry & Concierge billing call,65.0,1240.14,20.1,True
838,2024-09-16,Basic,199,24.6,4,3,34,33,Yes,0.68,8,1082.56,1082.56,509.44,High Risk,High Risk,0.39,422.2,Payment retry & Concierge billing call,65.0,357.2,6.5,True
839,2024-08-16,Basic,199,12.1,1,5,16,40,Yes,0.6218,6,742.43,742.43,451.57,High Risk,High Risk,0.18,133.64,Payment retry & Concierge billing call,65.0,68.64,2.1,True
840,2024-04-25,Standard,399,22.6,8,0,4,30,Yes,0.607,4,968.77,968.77,627.23,High Risk,High Risk,0.51,494.07,Customer support follow-up,120.0,374.07,4.1,True
841,2024-09-03,Premium,699,10.8,4,2,22,10,Yes,0.4297,8,2402.88,2402.88,3189.12,Medium Risk,Medium Risk,0.55,1321.58,Payment retry & Concierge billing call,65.0,1256.58,20.3,True
842,2023-06-23,Premium,699,18.3,4,0,20,40,Yes,0.3342,8,1868.85,1868.85,3723.15,Low Risk,Low Risk,0.62,1158.69,No action,0.0,1158.69,1158.7,False
843,2024-05-11,Premium,699,16.6,4,5,4,39,Yes,0.7592,4,2122.72,2122.72,673.28,High Risk,High Risk,0.05,106.14,Payment retry & Concierge billing call,65.0,41.14,1.6,True
844,2023-10-09,Basic,199,12.9,4,2,9,8,No,0.4476,6,534.43,534.43,659.57,Medium Risk,Medium Risk,0.49,261.87,Payment retry & Concierge billing call,65.0,196.87,4.0,True
845,2024-04-02,Standard,399,18.7,2,4,1,47,Yes,0.8262,4,1318.62,1318.62,277.38,Critical Risk,Critical Risk,0.11,145.05,Payment retry & Concierge billing call,65.0,80.05,2.2,True
846,2023-02-03,Standard,399,6.9,3,3,12,11,No,0.4468,6,1069.64,1069.64,1324.36,Medium Risk,Medium Risk,0.37,395.77,Payment retry & Concierge billing call,65.0,330.77,6.1,True
847,2024-01-28,Standard,399,24.2,2,3,6,48,No,0.3954,6,946.59,946.59,1447.41,Medium Risk,Medium Risk,0.38,359.7,Payment retry & Concierge billing call,65.0,294.7,5.5,True
848,2023-12-20,Basic,199,18.3,2,1,29,36,No,0.2223,8,353.9,353.9,1238.1,Low Risk,Low Risk,0.6,212.34,No action,0.0,212.34,212.3,False
849,2024-05-02,Basic,199,19.0,1,0,17,10,No,0.1778,6,212.29,212.29,981.71,Low Risk,Low Risk,0.95,201.68,No action,0.0,201.68,201.7,False
850,2024-02-04,Standard,399,18.8,8,1,31,24,No,0.4256,8,1358.52,1358.52,1833.48,Medium Risk,Medium Risk,0.45,611.33,Payment reminder & Priority billing assistance,35.0,576.33,17.5,True
851,2024-04-04,Standard,399,4.1,6,0,17,18,No,0.2317,6,554.69,554.69,1839.31,Low Risk,Low Risk,0.48,266.25,No action,0.0,266.25,266.2,False
852,2023-12-29,Standard,399,24.1,0,0,21,58,No,0.1967,8,627.87,627.87,2564.13,Low Risk,Low Risk,0.84,527.41,No action,0.0,527.41,527.4,False
853,2024-02-05,Standard,399,8.7,4,0,18,16,No,0.1462,6,350.0,350.0,2044.0,Low Risk,Low Risk,0.61,213.5,No action,0.0,213.5,213.5,False
854,2023-07-04,Standard,399,18.5,3,4,16,21,No,0.4937,6,1181.92,1181.92,1212.08,Medium Risk,Medium Risk,0.34,401.85,Payment retry & Concierge billing call,65.0,336.85,6.2,True
855,2024-06-21,Standard,399,0.8,0,0,36,0,No,0.1006,8,321.12,321.12,2870.88,Low Risk,Low Risk,0.81,260.11,No action,0.0,260.11,260.1,False
856,2024-09-26,Basic,199,9.1,4,2,29,12,Yes,0.4994,8,795.04,795.04,796.96,Medium Risk,Medium Risk,0.53,421.37,Payment retry & Concierge billing call,65.0,356.37,6.5,True
857,2023-05-03,Basic,199,23.5,3,4,4,40,Yes,0.608,4,483.97,483.97,312.03,High Risk,High Risk,0.23,111.31,Payment retry & Concierge billing call,65.0,46.31,1.7,True
858,2023-10-29,Basic,199,9.7,2,0,9,44,Yes,0.3461,6,413.24,413.24,780.76,Low Risk,Low Risk,0.54,223.15,No action,0.0,223.15,223.2,False
859,2023-11-28,Standard,399,16.2,4,3,5,44,No,0.646,6,1546.52,1546.52,847.48,High Risk,High Risk,0.22,340.23,Payment retry & Concierge billing call,65.0,275.23,5.2,True
860,2023-03-03,Standard,399,19.6,4,0,11,24,Yes,0.4201,6,1005.72,1005.72,1388.28,Medium Risk,Medium Risk,0.64,643.66,Customer support follow-up,120.0,523.66,5.4,True
861,2024-02-07,Standard,399,4.9,1,3,17,59,Yes,0.8003,6,1915.92,1915.92,478.08,Critical Risk,Critical Risk,0.19,364.02,Payment retry & Concierge billing call,65.0,299.02,5.6,True
862,2023-04-19,Basic,199,3.2,8,3,32,13,Yes,0.9007,8,1433.91,1433.91,158.09,Critical Risk,Critical Risk,0.09,129.05,Payment retry & Concierge billing call,65.0,64.05,2.0,True
863,2024-04-01,Standard,399,3.0,1,0,17,36,No,0.5559,6,1330.82,1330.82,1063.18,Medium Risk,Medium Risk,0.59,785.18,Engagement campaign,10.0,775.18,78.5,True
864,2023-06-05,Basic,199,4.1,0,0,32,42,Yes,0.5666,8,902.03,902.03,689.97,Medium Risk,Medium Risk,0.64,577.3,Engagement campaign,10.0,567.3,57.7,True
865,2024-05-17,Premium,699,22.7,0,4,22,45,No,0.4043,8,2260.85,2260.85,3331.15,Medium Risk,Medium Risk,0.43,972.17,Payment retry & Concierge billing call,65.0,907.17,15.0,True
866,2024-12-06,Standard,399,10.4,1,4,28,14,Yes,0.4835,8,1543.33,1543.33,1648.67,Medium Risk,Medium Risk,0.46,709.93,Payment retry & Concierge billing call,65.0,644.93,10.9,True
867,2023-02-26,Standard,399,14.4,5,2,8,43,Yes,0.7775,6,1861.34,1861.34,532.67,High Risk,High Risk,0.14,260.59,Payment retry & Concierge billing call,65.0,195.59,4.0,True
868,2023-10-24,Premium,699,9.5,5,0,6,53,Yes,0.4307,6,1806.36,1806.36,2387.64,Medium Risk,Medium Risk,0.42,758.67,Customer support follow-up,120.0,638.67,6.3,True
869,2024-12-13,Premium,699,4.8,0,3,13,42,Yes,0.9291,6,3896.65,3896.65,297.35,Critical Risk,Critical Risk,0.23,896.23,Payment retry & Concierge billing call,65.0,831.23,13.8,True
870,2024-03-24,Standard,399,16.0,5,3,7,5,No,0.5342,6,1278.87,1278.87,1115.13,Medium Risk,Medium Risk,0.38,485.97,Payment retry & Concierge billing call,65.0,420.97,7.5,True
871,2023-09-02,Premium,699,3.9,3,0,13,46,No,0.5174,6,2169.98,2169.98,2024.02,Medium Risk,Medium Risk,0.52,1128.39,Customer support follow-up,120.0,1008.39,9.4,True
872,2024-04-05,Standard,399,2.0,8,5,25,19,Yes,0.9793,8,3125.93,3125.93,66.07,Critical Risk,Critical Risk,0.05,156.3,Payment retry & Concierge billing call,65.0,91.3,2.4,True
873,2023-08-05,Basic,199,8.8,5,5,3,2,Yes,0.464,4,369.34,369.34,426.66,Medium Risk,Medium Risk,0.11,40.63,Payment retry & Concierge billing call,65.0,-24.37,0.6,False
874,2023-03-15,Premium,699,11.7,8,1,34,47,No,0.4785,8,2675.77,2675.77,2916.23,Medium Risk,Medium Risk,0.3,802.73,Payment reminder & Priority billing assistance,35.0,767.73,22.9,True
875,2023-02-16,Basic,199,12.5,0,3,10,58,No,0.4527,6,540.52,540.52,653.48,Medium Risk,Medium Risk,0.34,183.78,Payment retry & Concierge billing call,65.0,118.78,2.8,True
876,2024-04-12,Basic,199,0.9,0,2,9,52,Yes,0.927,6,1106.84,1106.84,87.16,Critical Risk,Critical Risk,0.21,232.44,Payment retry & Concierge billing call,65.0,167.44,3.6,True
877,2024-09-22,Premium,699,21.0,1,0,11,7,No,0.1821,6,763.73,763.73,3430.27,Low Risk,Low Risk,0.89,679.72,No action,0.0,679.72,679.7,False
878,2024-11-25,Basic,199,20.2,6,2,5,51,No,0.7139,6,852.4,852.4,341.6,High Risk,High Risk,0.28,238.67,Payment retry & Concierge billing call,65.0,173.67,3.7,True
879,2023-08-07,Standard,399,3.5,8,1,21,20,No,0.2841,8,906.85,906.85,2285.15,Low Risk,Low Risk,0.3,272.06,No action,0.0,272.06,272.1,False
880,2023-06-22,Basic,199,8.7,1,2,12,9,No,0.3548,6,423.63,423.63,770.37,Medium Risk,Medium Risk,0.57,241.47,Payment retry & Concierge billing call,65.0,176.47,3.7,True
881,2023-05-17,Premium,699,14.1,7,1,24,59,No,0.4917,8,2749.59,2749.59,2842.41,Medium Risk,Medium Risk,0.36,989.85,Payment reminder & Priority billing assistance,35.0,954.85,28.3,True
882,2023-07-03,Basic,199,19.6,0,3,25,5,Yes,0.4213,8,670.71,670.71,921.29,Medium Risk,Medium Risk,0.7,469.5,Payment retry & Concierge billing call,65.0,404.5,7.2,True
883,2024-10-17,Basic,199,10.7,7,5,19,8,Yes,0.6245,8,994.2,994.2,597.8,High Risk,High Risk,0.13,129.25,Payment retry & Concierge billing call,65.0,64.25,2.0,True
884,2024-09-02,Standard,399,11.5,3,1,34,39,No,0.3222,8,1028.46,1028.46,2163.54,Low Risk,Low Risk,0.5,514.23,No action,0.0,514.23,514.2,False
885,2023-12-23,Basic,199,15.5,1,5,32,52,No,0.4684,8,745.69,745.69,846.31,Medium Risk,Medium Risk,0.21,156.59,Payment retry & Concierge billing call,65.0,91.59,2.4,True
886,2024-09-25,Standard,399,14.2,3,0,1,33,No,0.2267,4,361.81,361.81,1234.19,Low Risk,Low Risk,0.54,195.38,No action,0.0,195.38,195.4,False
887,2023-02-24,Standard,399,12.9,7,5,35,42,Yes,0.8519,8,2719.26,2719.26,472.74,Critical Risk,Critical Risk,0.05,135.96,Payment retry & Concierge billing call,65.0,70.96,2.1,True
888,2023-02-14,Basic,199,20.0,7,3,8,11,Yes,0.6559,6,783.14,783.14,410.86,High Risk,High Risk,0.34,266.27,Payment retry & Concierge billing call,65.0,201.27,4.1,True
889,2024-04-09,Basic,199,7.5,6,2,24,21,Yes,0.6756,8,1075.56,1075.56,516.44,High Risk,High Risk,0.32,344.18,Payment retry & Concierge billing call,65.0,279.18,5.3,True
890,2024-05-11,Basic,199,18.6,8,1,7,10,No,0.2792,6,333.36,333.36,860.64,Low Risk,Low Risk,0.49,163.35,No action,0.0,163.35,163.4,False
891,2023-11-30,Premium,699,2.2,3,5,8,28,Yes,0.9619,6,4034.21,4034.21,159.79,Critical Risk,Critical Risk,0.05,201.71,Payment retry & Concierge billing call,65.0,136.71,3.1,True
892,2023-08-22,Standard,399,18.8,5,1,13,49,Yes,0.5466,6,1308.56,1308.56,1085.44,Medium Risk,Medium Risk,0.49,641.19,Payment reminder & Priority billing assistance,35.0,606.19,18.3,True
893,2024-04-27,Basic,199,18.6,3,3,16,57,Yes,0.7875,6,940.28,940.28,253.73,High Risk,High Risk,0.25,235.07,Payment retry & Concierge billing call,65.0,170.07,3.6,True
894,2024-04-10,Premium,699,1.8,6,1,32,13,No,0.3779,8,2113.22,2113.22,3478.78,Medium Risk,Medium Risk,0.48,1014.35,Payment reminder & Priority billing assistance,35.0,979.35,29.0,True
895,2023-10-04,Basic,199,9.7,7,5,25,12,No,0.6563,8,1044.83,1044.83,547.17,High Risk,High Risk,0.12,125.38,Payment retry & Concierge billing call,65.0,60.38,1.9,True
896,2024-04-21,Basic,199,3.6,0,2,22,8,Yes,0.5799,8,923.2,923.2,668.8,Medium Risk,Medium Risk,0.64,590.85,Payment retry & Concierge billing call,65.0,525.85,9.1,True
897,2023-06-10,Standard,399,4.7,5,1,27,56,Yes,0.7641,8,2439.01,2439.01,752.99,High Risk,High Risk,0.23,560.97,Payment reminder & Priority billing assistance,35.0,525.97,16.0,True
898,2024-06-18,Premium,699,14.7,8,1,11,5,No,0.1926,6,807.76,807.76,3386.24,Low Risk,Low Risk,0.45,363.49,No action,0.0,363.49,363.5,False
899,2023-09-10,Standard,399,15.0,7,2,14,0,No,0.6458,6,1546.05,1546.05,847.95,High Risk,High Risk,0.47,726.64,Payment retry & Concierge billing call,65.0,661.64,11.2,True
900,2024-08-10,Basic,199,11.1,3,4,21,60,Yes,0.6809,8,1083.99,1083.99,508.01,High Risk,High Risk,0.19,205.96,Payment retry & Concierge billing call,65.0,140.96,3.2,True
901,2023-02-04,Basic,199,24.5,0,3,27,46,No,0.452,8,719.58,719.58,872.42,Medium Risk,Medium Risk,0.54,388.57,Payment retry & Concierge billing call,65.0,323.57,6.0,True
902,2024-07-25,Standard,399,10.2,1,3,34,31,Yes,0.726,8,2317.39,2317.39,874.61,High Risk,High Risk,0.36,834.26,Payment retry & Concierge billing call,65.0,769.26,12.8,True
903,2023-04-03,Basic,199,23.8,2,2,27,18,Yes,0.4779,8,760.82,760.82,831.18,Medium Risk,Medium Risk,0.64,486.92,Payment retry & Concierge billing call,65.0,421.92,7.5,True
904,2024-08-20,Basic,199,16.9,2,5,31,29,No,0.4871,8,775.46,775.46,816.54,Medium Risk,Medium Risk,0.27,209.37,Payment retry & Concierge billing call,65.0,144.37,3.2,True
905,2024-01-15,Basic,199,11.9,2,5,30,25,Yes,0.7477,8,1190.34,1190.34,401.66,High Risk,High Risk,0.22,261.87,Payment retry & Concierge billing call,65.0,196.87,4.0,True
906,2024-12-08,Premium,699,17.7,0,5,30,4,No,0.2774,8,1551.22,1551.22,4040.78,Low Risk,Low Risk,0.48,744.59,No action,0.0,744.59,744.6,False
907,2024-07-09,Standard,399,1.3,6,2,34,44,Yes,0.9522,8,3039.42,3039.42,152.58,Critical Risk,Critical Risk,0.05,151.97,Payment retry & Concierge billing call,65.0,86.97,2.3,True
908,2023-02-26,Premium,699,19.8,1,4,14,56,Yes,0.7254,6,3042.33,3042.33,1151.67,High Risk,High Risk,0.36,1095.24,Payment retry & Concierge billing call,65.0,1030.24,16.8,True
909,2023-02-11,Premium,699,22.3,1,3,24,23,Yes,0.7537,8,4214.69,4214.69,1377.31,High Risk,High Risk,0.44,1854.46,Payment retry & Concierge billing call,65.0,1789.46,28.5,True
910,2023-07-29,Standard,399,4.8,8,5,24,4,Yes,0.9368,8,2990.27,2990.27,201.73,Critical Risk,Critical Risk,0.05,149.51,Payment retry & Concierge billing call,65.0,84.51,2.3,True
911,2024-08-17,Basic,199,6.3,1,5,22,30,No,0.7269,8,1157.22,1157.22,434.78,High Risk,High Risk,0.2,231.44,Payment retry & Concierge billing call,65.0,166.44,3.6,True
912,2024-05-30,Premium,699,19.0,3,2,14,22,No,0.6853,6,2874.15,2874.15,1319.85,High Risk,High Risk,0.55,1580.78,Payment retry & Concierge billing call,65.0,1515.78,24.3,True
913,2024-05-28,Premium,699,7.3,1,2,28,22,Yes,0.5947,8,3325.56,3325.56,2266.44,Medium Risk,Medium Risk,0.51,1696.04,Payment retry & Concierge billing call,65.0,1631.04,26.1,True
914,2023-10-27,Premium,699,12.0,8,5,8,52,Yes,0.7812,6,3276.35,3276.35,917.65,High Risk,High Risk,0.05,163.82,Payment retry & Concierge billing call,65.0,98.82,2.5,True
915,2023-03-31,Standard,399,20.1,1,1,24,57,No,0.3409,8,1088.15,1088.15,2103.85,Low Risk,Low Risk,0.66,718.18,No action,0.0,718.18,718.2,False
916,2023-04-25,Basic,199,22.5,4,0,26,6,Yes,0.5927,8,943.58,943.58,648.42,Medium Risk,Medium Risk,0.86,811.48,Customer support follow-up,120.0,691.48,6.8,True
917,2023-10-28,Premium,699,12.7,3,4,10,60,No,0.6407,6,2687.1,2687.1,1506.9,High Risk,High Risk,0.13,349.32,Payment retry & Concierge billing call,65.0,284.32,5.4,True
918,2024-10-22,Standard,399,23.3,7,2,35,26,Yes,0.7147,8,2281.32,2281.32,910.68,High Risk,High Risk,0.43,980.97,Payment retry & Concierge billing call,65.0,915.97,15.1,True
919,2024-10-22,Basic,199,5.1,0,1,19,53,No,0.2151,8,342.44,342.44,1249.56,Low Risk,Low Risk,0.55,188.34,No action,0.0,188.34,188.3,False
920,2024-06-26,Standard,399,14.7,5,3,27,37,Yes,0.8523,8,2720.54,2720.54,471.46,Critical Risk,Critical Risk,0.13,353.67,Payment retry & Concierge billing call,65.0,288.67,5.4,True
921,2023-08-21,Premium,699,11.7,2,2,29,10,No,0.4034,8,2255.81,2255.81,3336.19,Medium Risk,Medium Risk,0.64,1443.72,Payment retry & Concierge billing call,65.0,1378.72,22.2,True
922,2023-06-20,Standard,399,24.3,0,1,24,22,Yes,0.4694,8,1498.32,1498.32,1693.68,Medium Risk,Medium Risk,0.82,1228.62,Payment reminder & Priority billing assistance,35.0,1193.62,35.1,True
923,2024-12-10,Premium,699,17.9,4,1,11,11,No,0.1754,6,735.63,735.63,3458.37,Low Risk,Low Risk,0.64,470.8,No action,0.0,470.8,470.8,False
924,2024-03-27,Premium,699,4.5,1,0,10,20,No,0.6243,6,2618.31,2618.31,1575.69,High Risk,High Risk,0.6,1570.99,Engagement campaign,10.0,1560.99,157.1,True
925,2023-12-19,Standard,399,5.0,8,5,24,2,No,0.6219,8,1985.1,1985.1,1206.9,High Risk,High Risk,0.05,99.26,Payment retry & Concierge billing call,65.0,34.26,1.5,True
926,2023-01-26,Basic,199,11.5,2,4,24,19,Yes,0.4771,8,759.54,759.54,832.46,Medium Risk,Medium Risk,0.31,235.46,Payment retry & Concierge billing call,65.0,170.46,3.6,True
927,2024-07-13,Standard,399,19.3,7,2,32,9,Yes,0.6075,8,1939.14,1939.14,1252.86,High Risk,High Risk,0.51,988.96,Payment retry & Concierge billing call,65.0,923.96,15.2,True
928,2024-08-10,Premium,699,16.4,4,3,22,57,Yes,0.8004,8,4475.84,4475.84,1116.16,Critical Risk,Critical Risk,0.18,805.65,Payment retry & Concierge billing call,65.0,740.65,12.4,True
929,2024-05-05,Premium,699,20.1,7,2,10,44,Yes,0.8634,6,3621.1,3621.1,572.9,Critical Risk,Critical Risk,0.12,434.53,Payment retry & Concierge billing call,65.0,369.53,6.7,True
930,2023-08-14,Basic,199,17.1,1,2,9,1,No,0.3308,6,394.98,394.98,799.02,Low Risk,Low Risk,0.65,256.74,No action,0.0,256.74,256.7,False
931,2024-06-23,Standard,399,2.8,0,4,23,41,Yes,0.9296,8,2967.28,2967.28,224.72,Critical Risk,Critical Risk,0.11,326.4,Payment retry & Concierge billing call,65.0,261.4,5.0,True
932,2024-11-18,Basic,199,5.3,1,4,18,54,Yes,0.6114,6,730.01,730.01,463.99,High Risk,High Risk,0.21,153.3,Payment retry & Concierge billing call,65.0,88.3,2.4,True
933,2023-02-27,Basic,199,10.2,7,2,33,38,Yes,0.7807,8,1242.87,1242.87,349.13,High Risk,High Risk,0.1,124.29,Payment retry & Concierge billing call,65.0,59.29,1.9,True
934,2023-10-19,Premium,699,10.2,6,2,24,24,Yes,0.7909,8,4422.71,4422.71,1169.29,High Risk,High Risk,0.22,973.0,Payment retry & Concierge billing call,65.0,908.0,15.0,True
935,2024-03-30,Standard,399,8.0,7,4,23,5,Yes,0.5816,8,1856.47,1856.47,1335.53,Medium Risk,Medium Risk,0.2,371.29,Payment retry & Concierge billing call,65.0,306.29,5.7,True
